200	1	One 200 field must be present in a UNIMARC record. ####Specifies the Primary Title.  In UNIMARC, a record must have a 200 field.
801	1	One 801 field must be present in a UNIMARC record. ####Specifies the Originating Source.  In UNIMARC, a record must have a 801 field.

001	NR	RECORD IDENTIFIER
723	NR	FAMILY NAME – PROVENANCE OR OWNERSHIP
ind1	blank	Undefined
ind2	blank	Undefined
subfield	34589acdfo	Valid subfields
3	NR	Authority Record Number
4	R	Relator Code
5	NR	Institution to which the Field Applies
8	R	Materials specified
9	NR	Local Subfield
a	NR	Entry Element
c	NR	Type of family
d	R	Places associated with the family
f	NR	Dates
o	R	International standard identifier for the name

730	R	NAME - ENTITY RESPONSIBLE
ind1	012	Form of Name Indicator
ind2	blank	Undefined
subfield	49a	Valid subfields
4	R	Relator Code
9	NR	Local Subfield
a	NR	Entry Element

740	NR	UNIFORM CONVENTIONAL HEADING FOR LEGAL AND RELIGIOUS TEXTS – PRIMARY RESPONSIBILITY
ind1	blank	Undefined
ind2	1234	Form of Name Indicator
subfield	39abcefilnt	Valid subfields
3	NR	Authority Record Number
9	NR	Local Subfield
a	NR	Entry Element
b	R	Subdivision
c	R	Addition to Name or Qualifier
e	NR	Name of the other party
f	R	Date of legal issue or version, or date of signing
i	R	Name of section or part
l	R	Form subheading
n	R	Miscellaneous information
t	NR	Uniform title

741	R	UNIFORM CONVENTIONAL HEADING FOR LEGAL AND RELIGIOUS TEXTS – ALTERNATIVE RESPONSIBILITY
ind1	blank	Undefined
ind2	1234	Form of Name Indicator
subfield	39abcefilnt	Valid subfields
3	NR	Authority Record Number
9	NR	Local Subfield
a	NR	Entry Element
b	R	Subdivision
c	R	Addition to Name or Qualifier
e	NR	Name of the other party
f	R	Date of legal issue or version, or date of signing
i	R	Name of section or part
l	R	Form subheading
n	R	Miscellaneous information
t	NR	Uniform title

742	R	UNIFORM CONVENTIONAL HEADING FOR LEGAL AND RELIGIOUS TEXTS – SECONDARY RESPONSIBILITY
ind1	blank	Undefined
ind2	1234	Form of Name Indicator
subfield	39abcefilnt	Valid subfields
3	NR	Authority Record Number
9	NR	Local Subfield
a	NR	Entry Element
b	R	Subdivision
c	R	Addition to Name or Qualifier
e	NR	Name of the other party
f	R	Date of legal issue or version, or date of signing
i	R	Name of section or part
l	R	Form subheading
n	R	Miscellaneous information
t	NR	Uniform title

801	R	ORIGINATING SOURCE
ind1	blank	Undefined
ind2	0123	Function Indicator
subfield	29abcgh	Valid subfields
2	NR	System Code
9	NR	Local Subfield
a	NR	Country
b	NR	Agency
c	NR	Date of Transaction
g	R	Cataloguing Rules (Descriptive Conventions)
h	NR	Original Control Number

802	NR	ISSN CENTRE
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	ISSN Centre Code

830	NR	GENERAL CATALOGUER’S NOTE
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of note

850	NR	HOLDING INSTITUTION
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	R	Code of institution

852	NR	LOCATION AND CALL NUMBER
ind1	012345	Shelving scheme
ind2	012	Shelving order
subfield	29abcdegjklmnptxy	Valid subfields
2	R	System Code
9	NR	Local Subfield
a	NR	Institution Identifier
b	R	Sub-Location Identifier
c	NR	Address
d	NR	Coded Location Qualifier
e	NR	Non-coded Location Qualifier
g	NR	Call Number Prefix
j	NR	Call Number
k	NR	Shelving Form of Title, Author, Author/Title
l	NR	Call Number Suffix
m	NR	Item Identifier
n	NR	Copy Identifier
p	NR	Country
t	NR	Copy Number
x	R	Non-public Note
y	R	Public Note

856	R	ELECTRONIC LOCATION AND ACCESS
ind1	012347	Access Method
ind2	blank	Undefined
subfield	29abcdefhijklmnopqrstuvwxyz	Valid subfields
2	R	Link text
9	NR	Local Subfield
a	R	Host name
b	R	Access number
c	R	Compression information
d	R	Path
e	NR	Date and Hour of Consultation and Access
f	R	Electronic name
h	NR	Processor of request
i	R	Instruction
j	NR	Bits per second
k	NR	Password
l	NR	Logon/login
m	R	Contact for access assistance
n	NR	Name of location of host in subfield $a
o	NR	Operating system
p	NR	Port
q	R	Electronic Format Type
r	NR	Settings
s	R	File size
t	R	Terminal emulation
u	NR	Uniform Resource Identifier
v	R	Hours access method available
w	R	Record control number
x	R	Non-public note
y	NR	Access method
z	R	Public note

886	R	DATA NOT CONVERTED FROM SOURCE FORMAT
ind1	012	Type of field
ind2	blank	Undefined
subfield	29abcdefghijklmnopqrstuvwxyz	Valid subfields
2	NR	System Code
9	NR	Local Subfield
a	NR	Tag of the Source Format Field
b	NR	Indicators and Subfields of the Source Format Field
c	R	Foreign UNIMARC subfield
d	R	Foreign UNIMARC subfield
e	R	Foreign UNIMARC subfield
f	R	Foreign UNIMARC subfield
g	R	Foreign UNIMARC subfield
h	R	Foreign UNIMARC subfield
i	R	Foreign UNIMARC subfield
j	R	Foreign UNIMARC subfield
k	R	Foreign UNIMARC subfield
l	R	Foreign UNIMARC subfield
m	R	Foreign UNIMARC subfield
n	R	Foreign UNIMARC subfield
o	R	Foreign UNIMARC subfield
p	R	Foreign UNIMARC subfield
q	R	Foreign UNIMARC subfield
r	R	Foreign UNIMARC subfield
s	R	Foreign UNIMARC subfield
t	R	Foreign UNIMARC subfield
u	R	Foreign UNIMARC subfield
v	R	Foreign UNIMARC subfield
w	R	Foreign UNIMARC subfield
x	R	Foreign UNIMARC subfield
y	R	Foreign UNIMARC subfield
z	R	Foreign UNIMARC subfield
